ID_SAEB;ID_SERIE;TP_DISCIPLINA;NU_BLOCO;NU_POSICAO;ID_ITEM;NU_DESCRITOR_HABILIDADE;TX_GABARITO;TP_ITEM;TP_ITEM_MODELO;A;B;C;B1;B2;B3
2023;3;MT;2;8;22358N;D16;C;Resposta Objetiva;M3P;1.44601;-0.42006;0.03627;;;
2023;3;MT;2;9;34894;D2;C;Resposta Objetiva;M3P;0.85418;0.37868;0.22713;;;
2023;3;MT;2;10;111295;D15;B;Resposta Objetiva;M3P;1.8146;2.01474;0.13137;;;
2023;3;MT;2;11;111033;D20;E;Resposta Objetiva;M3P;0.94887;1.34279;0.39531;;;
2023;3;MT;2;12;110356;D13;D;Resposta Objetiva;M3P;2.1292;1.92885;0.13832;;;
2023;3;MT;2;13;70524;D6;A;Resposta Objetiva;M3P;0.85381;1.41433;0.09497;;;
2023;3;MT;3;1;111087;D9;A;Resposta Objetiva;M3P;2.22531;1.58943;0.13398;;;
2023;3;MT;3;2;69049;D29;E;Resposta Objetiva;M3P;1.31302;2.54137;0.09484;;;
2023;3;MT;3;3;111319N;D34;B;Resposta Objetiva;M3P;2.02062;1.26948;0.15259;;;
2023;3;MT;3;4;110750;D26;D;Resposta Objetiva;M3P;0.75581;1.96341;0.16029;;;
